Agent_claude_LLM_Clarity_Rating,Agent_claude_LLM_Completeness_Rating,Agent_claude_LLM_Consistency_Rating,Agent_claude_PSNR,Agent_claude_RMSE,Agent_claude_SAM,Agent_claude_SRE,Agent_claude_SSIM,Agent_claude_UIQ,Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.1148,0.0111,89.8884,60.4691,0.6643,0.0013,boxes_and_arrows,microservices,entire,"static, dynamic",hotshot07_distributed_systems,y,"services, servers, DBs, clients",deployment,uni,"control_flow, data_flow",n,y,n,medium,y,y,,"maintainability, flexibility, interaction_capability",hotshot07/distributed_systems,"rectangles, cylinders, icons","kubernetes, react, nginx, flask",https://github.com/hotshot07/distributed_systems/,928
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.5739,0.0591,7.3564,26.4853,0.0105,0.0013,boxes_and_arrows,layered,entire,static,fdrennan_ndexr-platform,y,sub-systems,general,bi,dependencies,n,y,n,high,n,y,,maintainability,fdrennan/ndexr-platform,"rectangles, squares, icons",NA,https://github.com/fdrennan/ndexr-platform/,1036
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.9597,0.0225,89.8056,55.9045,0.5007,-0.0024,boxes,client-server,entire,"static, dynamic",wso2_chef-apim,y,"servers, APIs, sub-systems, data",connectivity,uni,function_calls,n,y,n,medium,n,y,,"functional_suitability, maintainability, reliability",wso2/chef-apim,"rectangles, squares, icons",NA,https://github.com/wso2/chef-apim/,1005
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,24.6153,0.0588,6.6458,24.9354,0.0240,0.0000,boxes_and_arrows,MVC,part,static,ra1028_VueFlux,y,classes,general,uni,dependencies,n,y,n,low,n,y,,maintainability,ra1028/VueFlux,rectangles,NA,https://github.com/ra1028/VueFlux/,976
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.6335,0.0294,81.4850,54.9455,0.5255,0.0002,boxes_and_arrows,client-server,entire,static,btcpayserver_btcpayserver-doc,y,"packages, containers, functions, devices",deployment,uni,dependencies,parameters,y,n,low,y,n,,maintainability,btcpayserver/btcpayserver-doc,rectangles,docker,https://github.com/btcpayserver/btcpayserver-doc/,1111
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6357,0.0131,88.6977,60.6898,0.6120,0.0029,boxes_and_arrows,NA,part,static,ingeniala_heybluekata,y,quality-attributes,general,"uni, no",dependencies,n,y,n,medium,n,y,quality attributes,"security, maintainability, flexibility, performance_efficiency, interaction_capability",ingeniala/heybluekata,rectangles,NA,https://github.com/ingeniala/heybluekata/,1200
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5642,0.0167,89.2419,57.6819,0.5423,-0.0005,boxes_and_arrows,"layered, SOA",entire+,static,WeBankFinTech_DeFiBus,y,"DBs, clients, services, layers","deployment, connectivity","uni, bi",data_flow,text,y,n,high,n,y,,"maintainability, flexibility, performance_efficiency",WeBankFinTech/DeFiBus,"rectangles, cylinders, ellipses, squares",NA,https://github.com/WeBankFinTech/DeFiBus/,1198
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9278,0.0567,12.6566,33.7596,0.0308,0.0002,icons_and_arrows,event-driven,entire,"static, dynamic",rubenbupe_proyectos-data,y,technologies,"deployment, connectivity",uni,communication,URLs,y,y,high,n,y,,"maintainability, security",rubenbupe/proyectos-data,"rectangles, icons","mongodb, rabbitmq, grafana, kubernetes, prometheus",https://github.com/rubenbupe/proyectos-data/,1119
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8116,0.0144,89.5690,58.0705,0.5792,0.0002,"icons_and_arrows, boxes",client-server,entire,static,open-risk_Open_Risk_API,y,servers,deployment,"uni, bi","data_flow, communication",n,y,n,high,n,y,,maintainability,open-risk/Open_Risk_API,"rectangles, icons",NA,https://github.com/open-risk/Open_Risk_API/,903
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,boxes_and_arrows,"event-driven, MVC",entire,"static, dynamic",redbadger_crux,y,"APIs, clients, sub-systems","connectivity, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",redbadger/crux,"rectangles, cylinders, ellipses",NA,https://github.com/redbadger/crux/,1704
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8164,0.0162,89.6895,59.4129,0.4901,-0.0006,boxes_and_arrows,"client-server, microservices",entire,static,sup2is_e-commerce-project,y,"DBs, services, servers, APIs","deployment, connectivity","uni, no",communication,n,y,n,high,n,n,,maintainability,sup2is/e-commerce-project,"circles, rectangles, cylinders","redis, nginx, eureka, zipkin",https://github.com/sup2is/e-commerce-project/,1226
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9446,0.0113,89.9476,59.7721,0.6368,-0.0014,icons_and_arrows,client-server,entire,dynamic,AhmedAbdelGawadFarag_Shams-Personal-Assistant,y,"APIs, servers, clients",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,AhmedAbdelGawadFarag/Shams-Personal-Assistant,icons,NA,https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/,1165
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5204,0.0119,89.9128,58.5745,0.5302,-0.0014,boxes_and_arrows,smart-contracts,part,dynamic,Nishu0_anime_nft_marketplace,y,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,blockchain,"functional_suitability, interaction_capability",Nishu0/anime_nft_marketplace,"rectangles, diamonds",NA,https://github.com/Nishu0/anime_nft_marketplace/,888
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.6388,0.0165,87.7023,60.6063,0.7153,0.0003,icons_and_arrows,client-server,entire+,"static, dynamic",ertis-research_lwm2m-blockchain,y,"clients, servers, APIs, network_components","connectivity, control_flow","uni, bi","control_flow, communication",text,y,n,high,n,n,blockchain,"security, functional_suitability",ertis-research/lwm2m-blockchain,"circles, icons",NA,https://github.com/ertis-research/lwm2m-blockchain/,1085
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9993,0.0159,89.2958,59.7494,0.5860,-0.0026,boxes_and_arrows,"microservices, event-driven",entire,dynamic,geovanegodoi_MicroServicesPOC,y,"DBs, services, bus, clients, APIs","deployment, control_flow","uni, bi, bus","control_flow, data_flow",n,y,n,medium,n,y,,"maintainability, interaction_capability",geovanegodoi/MicroServicesPOC,"rectangles, cylinders, hexagons, icons, squares","docker, rabbitmq, mongodb",https://github.com/geovanegodoi/MicroServicesPOC/,894
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.4259,0.0268,89.8127,54.8283,0.5679,-0.0001,boxes_and_arrows,NA,entire+,static,gpsnmeajp_VirtualMotionTracker,y,"clients, sub-systems, technologies","deployment, connectivity","uni, bi",communication,n,y,y,high,n,y,,maintainability,gpsnmeajp/VirtualMotionTracker,rectangles,"openvr, c++, c#",https://github.com/gpsnmeajp/VirtualMotionTracker/,1120
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.4239,0.0425,89.3063,47.6994,0.3116,0.0007,boxes,layered,entire,static,intel_edge-insights-vision,y,"hardware_components, technologies, layers",general,NA,NA,n,n,n,high,n,y,,maintainability,intel/edge-insights-vision,"rectangles, squares","docker, jupyter, intel, linux, windows",https://github.com/intel/edge-insights-vision/,1070
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6320,0.0186,84.8126,54.8242,0.3780,0.0066,boxes,event-driven,part,static,mendhak_gpslogger,y,"bus, services, clients",connectivity,"bus, uni, bi",communication,n,n,n,medium,n,y,,maintainability,mendhak/gpslogger,"rectangles, icons",NA,https://github.com/mendhak/gpslogger/,1208
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7999,0.0229,82.9496,58.4441,0.6036,0.0029,boxes_and_arrows,NA,entire+,dynamic,mrubash1_trainspotting,y,"hardware_components, sub-systems, technologies",control_flow,uni,control_flow,n,y,n,high,n,y,IOT,functional_suitability,mrubash1/trainspotting,"rectangles, squares, icons","jupyter, tensorflow",https://github.com/mrubash1/trainspotting/,799
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.6338,0.0415,49.6025,53.6415,0.3999,-0.0005,icons_and_arrows,client-server,entire,dynamic,JessNah_BeeGreen,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,y,,"functional_suitability, interaction_capability",JessNah/BeeGreen,"circles, icons, rectangles","react, typescript, nodejs, ibm",https://github.com/JessNah/BeeGreen/,1004
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8173,0.0129,89.8208,58.7172,0.4866,0.0019,boxes_and_arrows,NA,entire,static,JuliaParallel_DagScheduler.jl,n,sub-systems,"data_flow, performance",bi,data_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",JuliaParallel/DagScheduler.jl,"rectangles, cylinders",NA,https://github.com/JuliaParallel/DagScheduler.jl/,767
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.6592,0.0117,89.9261,60.3913,0.5867,-0.0019,boxes_and_arrows,client-server,entire,static,FPriv_factom-harmony-connect-python-sdk,y,"packages, classes, APIs, sub-systems",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,FPriv/factom-harmony-connect-python-sdk,rectangles,NA,https://github.com/FPriv/factom-harmony-connect-python-sdk/,793
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8262,0.0144,88.9896,58.5374,0.6190,-0.0017,icons_and_arrows,NA,entire,dynamic,yoshixmk_remarks,y,technologies,"deployment, control_flow",uni,"control_flow, data_flow",n,y,n,high,n,n,,"functional_suitability, maintainability",yoshixmk/remarks,icons,"google, html, github, fauna, deploy",https://github.com/yoshixmk/remarks/,815
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0773,0.0557,17.9587,40.0424,0.1003,-0.0068,"icons_and_arrows, boxes",client-server,part,dynamic,miztiik_aws-real-time-use-cases,y,technologies,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,functional_suitability,miztiik/aws-real-time-use-cases,"rectangles, icons",aws,https://github.com/miztiik/aws-real-time-use-cases/,640
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.3763,0.0191,89.7886,53.2963,0.4247,0.0002,icons_and_arrows,NA,part,dynamic,gapfish_deployer,n,"DBs, technologies",deployment,bi,control_flow,n,y,n,high,n,n,manual sketch,maintainability,gapfish/deployer,icons,NA,https://github.com/gapfish/deployer/,1151
Partially Meets Expectations,Meets Expectations,Partially Meets Expectations,35.0036,0.0178,89.9411,56.2535,0.6227,-0.0003,boxes,rest,entire,static,vinijmoura_Azure-DevOps,y,technologies,general,NA,NA,n,n,n,high,n,n,,maintainability,vinijmoura/Azure-DevOps,icons,azure,https://github.com/vinijmoura/Azure-DevOps/,1211
Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,32.1849,0.0246,82.0868,50.8726,0.4389,0.0114,boxes_and_arrows,SOA,entire,static,OpenRoberta_robertalab-ev3dev,y,"packages, clients",connectivity,bi,communication,n,y,n,high,n,y,IOT,maintainability,OpenRoberta/robertalab-ev3dev,rectangles,NA,https://github.com/OpenRoberta/robertalab-ev3dev/,900
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6923,0.0207,81.2342,57.1233,0.6379,0.0023,boxes_and_arrows,NA,part,static,ibm-hyperknowledge_hklib,y,"DBs, clients, packages",general,uni,dependencies,n,y,n,high,n,n,,maintainability,ibm-hyperknowledge/hklib,rectangles,NA,https://github.com/ibm-hyperknowledge/hklib/,1092
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,41.5022,0.0084,89.8970,66.2630,0.8084,-0.0013,icons_and_arrows,client-server,entire,dynamic,IBM_cognos-analytics-to-visualize-business-data,y,technologies,control_flow,"uni, bi",control_flow,n,y,n,high,n,n,,functional_suitability,IBM/cognos-analytics-to-visualize-business-data,"circles, icons",cognos,https://github.com/IBM/cognos-analytics-to-visualize-business-data/,922
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5705,0.0132,89.3537,62.5666,0.7524,0.0005,boxes_and_arrows,client-server,entire,"static, dynamic",beston123_Tarzan,y,"sub-systems, servers, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,beston123/Tarzan,"rectangles, icons","mysql, rocketmq",https://github.com/beston123/tevent/,1123
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4736,0.0168,89.8106,58.1601,0.5601,-0.0052,boxes_and_arrows,NA,entire,"static, dynamic",serverdevcamp_camp4_quadcore,y,"APIs, DBs, technologies",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,serverdevcamp/camp4_quadcore,"circles, icons, rectangles","twitter, apache, cassandra",https://github.com/serverdevcamp/camp4_quadcore/,1199
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,41.5685,0.0083,89.9523,64.0310,0.7428,-0.0023,boxes_and_arrows,"rest, MVC",entire,static,heli-os_member-invitation-java-springboot,n,"packages, DBs, services",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,heli-os/member-invitation-java-springboot,"rectangles, squares","aws, redis",https://github.com/heli-os/member-invitation-java-springboot/,1038
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.2552,0.0274,89.8151,58.8086,0.6752,-0.0003,boxes_and_arrows,"microservices, layered",entire,static,itays123_partydeck,y,"DBs, services, clients",general,uni,dependencies,n,y,n,high,n,y,,maintainability,itays123/partydeck,"rectangles, squares",mongodb,https://github.com/itays123/partydeck/,1069
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3082,0.0136,89.9502,61.7017,0.7718,0.0001,boxes_and_arrows,"client-server, publish-subscribe",entire+,static,liyangbing_rocketmq-http-gateway,y,"servers, technologies, sub-systems",connectivity,uni,communication,parameters,y,n,medium,n,y,,maintainability,liyangbing/rocketmq-http-gateway,rectangles,"rocketmq, apache",https://github.com/liyangbing/rocketmq-http-gateway/,980
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2953,0.0172,89.8058,63.5406,0.7372,0.0047,boxes,"layered, SOA",entire,static,zeromicro_zero-doc,y,"services, DBs, APIs, features",general,uni,communication,n,y,n,medium,n,y,,maintainability,zeromicro/zero-doc,rectangles,"mysql, postgresql, mongodb, clickhouse, redis, kubernetes, etcd, consul, nacos, polarismesh",https://github.com/zeromicro/zero-doc/,1435
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.0063,0.0501,87.7909,39.3041,0.1921,-0.0013,icons_and_arrows,NA,entire,static,chsakell_planet-scale-azure,y,"DBs, servers","deployment, connectivity",no,communication,n,y,n,high,n,n,,flexibility,chsakell/planet-scale-azure,icons,azure,https://github.com/chsakell/planet-scale-azure/,981
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0152,0.0141,89.3521,62.0974,0.6078,0.0044,boxes_and_arrows,pipes-and-filters,entire,dynamic,GoogleCloudPlatform_analytics-componentized-patterns,y,steps,control_flow,uni,control_flow,text,y,n,high,n,n,,functional_suitability,GoogleCloudPlatform/analytics-componentized-patterns,"rectangles, icons",google,https://github.com/GoogleCloudPlatform/analytics-componentized-patterns/,1575
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,25.7804,0.0514,31.4419,42.9618,0.1076,0.0012,boxes,layered,entire+,static,exmgr_GatewayXM,y,"layers, services, sub-systems, technologies",general,NA,NA,snapshots,n,n,medium,n,y,IOT,maintainability,exmgr/GatewayXM,rectangles,"java, eclipse",https://github.com/exmgr/GatewayXM/,796
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6324,0.0131,89.8287,59.5220,0.4947,0.0105,icons_and_arrows,microservices,entire,dynamic,oovk_dataengg-covid19-aws,y,"technologies, DBs, services",data_flow,uni,data_flow,n,y,n,high,n,y,,maintainability,oovk/dataengg-covid19-aws,"rectangles, squares, icons",aws,https://github.com/oovk/dataengg-covid19-aws/,787
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.8338,0.0362,61.5225,50.5378,0.3168,0.0055,UML,client-server,entire,static,ndsev_zswag,y,"packages, classes",general,uni,dependencies,n,y,n,medium,n,y,,maintainability,ndsev/zswag,rectangles,NA,https://github.com/ndsev/zswag/,925
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2707,0.0154,89.2364,59.3516,0.6504,-0.0032,icons_and_arrows,smart-contracts,entire,static,shawntabrizi_Ethereum-Twitter-Bounty,y,"contracts, technologies, clients",general,"uni, bi",communication,n,y,n,medium,n,n,blockchain,maintainability,shawntabrizi/Ethereum-Twitter-Bounty,icons,"ethereum, oraclize, twitter, web3js",https://github.com/shawntabrizi/Ethereum-Twitter-Bounty/,1018
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.4447,0.0120,89.7407,59.2904,0.4889,-0.0056,"boxes, icons_and_arrows",client-server,part,static,badr42_oke_A1,y,"network_components, containers","deployment, connectivity, performance",uni,communication,n,y,n,medium,n,y,,"flexibility, performance_efficiency, reliability",badr42/oke_A1,"rectangles, icons","kubernetes, oracle",https://github.com/badr42/oke_A1/,906
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.9554,0.0113,89.6101,60.4023,0.7011,0.0028,boxes_and_arrows,client-server,entire,static,ev2900_OpenSearch_Dashboard_Nginx_Proxy,y,"servers, services","deployment, connectivity",bi,communication,URLs,y,n,high,n,y,,security,ev2900/OpenSearch_Dashboard_Nginx_Proxy,"rectangles, icons","nginx, aws, opensearch",https://github.com/ev2900/OpenSearch_Dashboard_Nginx_Proxy/,578
Partially Meets Expectations,Meets Expectations,Partially Meets Expectations,26.4684,0.0475,36.6564,44.4783,0.2369,0.0009,boxes_and_arrows,SOA,entire+,static,AndreasM009_AadApiGatekeeper,y,"containers, APIs, services, technologies",deployment,"uni, no",communication,n,y,y,high,n,y,,"flexibility, security",AndreasM009/AadApiGatekeeper,"ellipses, icons, rectangles","azure, kubernetes",https://github.com/AndreasM009/AadApiGatekeeper/,1248
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5316,0.0133,88.7064,61.3821,0.3576,-0.0013,boxes_and_arrows,"MVI, layered",entire,"static, dynamic",kaleidot725_Draft,y,"DBs, sub-systems",general,uni,"control_flow, data_flow",n,y,n,high,n,y,,maintainability,kaleidot725/Draft,"rectangles, icons",NA,https://github.com/kaleidot725/Draft/,862
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4632,0.0119,89.9251,59.2659,0.5746,0.0009,icons_and_arrows,SOA,entire+,static,Azure_AzureStack-QuickStart-Templates,y,"network_components, DBs, APIs, functions","deployment, connectivity, performance, security",uni,"data_flow, API_calls, communication",n,y,n,high,n,y,,"flexibility, security, maintainability",Azure/AzureStack-QuickStart-Templates,"rectangles, icons",azure,https://github.com/Azure/AzureStack-QuickStart-Templates/,1449
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5106,0.0119,89.1134,59.3756,0.6511,-0.0001,boxes_and_arrows,NA,entire,dynamic,Fintan-contents_case-studies,y,steps,control_flow,uni,control_flow,n,y,n,high,n,n,,"interaction_capability, functional_suitability",Fintan-contents/case-studies,"rectangles, icons",NA,https://github.com/Fintan-contents/case-studies/,753
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5946,0.0118,89.6986,62.9011,0.7177,-0.0019,"icons_and_arrows, boxes",microservices,entire,dynamic,spikecodes_stotra,y,"DBs, technologies",deployment,"uni, bi",communication,n,y,n,medium,n,y,,maintainability,spikecodes/stotra,"rectangles, squares, icons","react, aws, mongodb, cloudflare",https://github.com/spikecodes/stotra/,1275
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8063,0.0363,68.5001,54.1774,0.4567,-0.0037,boxes_and_arrows,client-server,entire,static,blentle_hikarikeeper,y,"servers, DBs","deployment, connectivity",uni,communication,n,y,n,high,n,y,,flexibility,blentle/hikarikeeper,"rectangles, cylinders",rocksdb,https://github.com/blentle/hikarikeeper/,1466
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5742,0.0148,87.4139,58.6575,0.5320,0.0041,boxes_and_arrows,event-driven,entire,dynamic,tarhses_esp-alarm-clock,n,packages,control_flow,uni,control_flow,text,y,n,medium,n,n,,"functional_suitability, reliability",tarhses/esp-alarm-clock,"rectangles, circles",NA,https://github.com/tarhses/esp-alarm-clock/,950
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9791,0.0126,87.9573,60.6100,0.6536,-0.0003,boxes_and_arrows,SOA,part,dynamic,balajich_resilience4j-helloworld,n,"services, clients, functions",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, reliability",balajich/resilience4j-helloworld,"ellipses, squares",NA,https://github.com/balajich/resilience4j-helloworld/,1113
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2444,0.0109,89.8801,62.0360,0.6603,0.0033,boxes_and_arrows,"hexagonal, layered",entire,static,clemgbld_blog_back_office,y,ports,connectivity,uni,communication,n,y,y,medium,n,y,,maintainability,clemgbld/blog_back_office,"rectangles, hexagons",NA,https://github.com/clemgbld/blog_back_office/,986
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3627,0.0539,18.8931,44.2661,0.1537,-0.0006,boxes_and_arrows,layered,entire,"static, dynamic",CMU-RERC-APT_tiramisu3-pr,y,"DBs, sub-systems, classes",control_flow,"uni, bi",communication,n,y,n,medium,y,n,,"functional_suitability, maintainability",CMU-RERC-APT/tiramisu3-pr,"rectangles, cylinders",NA,https://github.com/CMU-RERC-APT/tiramisu3-pr/,1630
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0634,0.0111,89.0534,65.5256,0.7849,-0.0001,boxes_and_arrows,layered,entire,dynamic,dylanvanh_MunchOut,y,"classes, layers, APIs, DBs",data_flow,uni,communication,n,y,n,medium,n,y,,maintainability,dylanvanh/MunchOut,"rectangles, icons",mysql,https://github.com/dylanvanh/MunchOut/,949
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7400,0.0231,89.8506,55.4078,0.5791,-0.0012,boxes,clean,entire,static,alextanhongpin_node-rest,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alextanhongpin/node-rest,circles,NA,https://github.com/alextanhongpin/node-rest/,865
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6038,0.0589,7.6226,27.6670,0.0135,-0.0016,icons_and_arrows,client-server,part,dynamic,IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras,"circles, icons","watson, jupyter, tensorflow",https://github.com/IBMDeveloperMEA/YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras/,565
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4183,0.0135,89.2570,62.2983,0.7133,0.0015,icons_and_arrows,NA,part,dynamic,microsoft_covid19-BackToWork,y,"technologies, layers",control_flow,uni,control_flow,text,y,n,high,n,y,,"functional_suitability, maintainability",microsoft/covid19-BackToWork,icons,"azure, microsoft, twilio, powerbi",https://github.com/microsoft/covid19-BackToWork/,1004
Does Not Meet Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.0919,0.0157,89.8696,61.4059,0.7239,0.0009,boxes_and_arrows,rest,part,"static, dynamic",florianhoehn_sf-apex-rest-api,y,classes,general,no,inheritance,text,y,n,low,y,n,manual sketch,maintainability,florianhoehn/sf-apex-rest-api,rectangles,NA,https://github.com/florianhoehn/sf-apex-rest-api/,1154
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9563,0.0159,88.9039,53.2847,0.4921,-0.0002,boxes_and_arrows,client-server,part,dynamic,boot2podman_machine,y,servers,connectivity,uni,communication,n,y,n,high,n,y,,maintainability,boot2podman/machine,"ellipses, squares",NA,https://github.com/boot2podman/machine/,1120
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.4553,0.0337,73.4093,49.8477,0.2657,0.0027,boxes,layered,entire,static,Xsidelight_flutter_interview_questions,y,"layers, packages",general,NA,NA,n,n,n,medium,n,y,,maintainability,Xsidelight/flutter_interview_questions,rectangles,dart,https://github.com/Xsidelight/flutter_interview_questions/,695
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.3957,0.0537,22.6881,45.3748,0.1649,0.0022,boxes,layered,entire,static,aliyun_packagist-mirror,y,"layers, coroutines",general,NA,NA,n,n,n,medium,n,y,,maintainability,aliyun/packagist-mirror,"rectangles, icons","github, composer",https://github.com/aliyun/packagist-mirror/,1112
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2345,0.0137,89.8721,60.7189,0.6251,0.0016,boxes_and_arrows,event-driven,entire,dynamic,laziestcoder_Budget_App_JS,y,"functions, layers",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",laziestcoder/Budget_App_JS,rectangles,NA,https://github.com/laziestcoder/Budget_App_JS/,657
Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.6019,0.0148,89.0813,58.2699,0.5259,0.0003,"boxes, icons_and_arrows",NA,entire+,"static, dynamic",IBM_spectrum-protect-sppmon,y,"APIs, technologies, VMs","connectivity, control_flow",uni,"control_flow, function_calls",n,y,y,medium,n,y,,"interaction_capability, functional_suitability",IBM/spectrum-protect-sppmon,"rectangles, icons",ibm,https://github.com/IBM/sppmon/,1548
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1639,0.0139,88.4545,58.4311,0.5373,0.0024,boxes_and_arrows,rest,entire,dynamic,input-output-hk_marlowe-starter-kit,y,"packages, DBs","scheduling, control_flow",uni,function_calls,text,y,y,medium,n,y,,interaction_capability,input-output-hk/marlowe-starter-kit,rectangles,postgresql,https://github.com/input-output-hk/marlowe-starter-kit/,1163
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.0823,0.0140,88.8916,60.6573,0.7116,0.0017,boxes_and_arrows,NA,entire+,"static, dynamic",eqbal_CarND_Capstone_CarX,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,eqbal/CarND_Capstone_CarX,rectangles,ros,https://github.com/eqbal/CarND_Capstone_CarX/,825
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8116,0.0144,87.6356,57.9781,0.6233,-0.0000,icons_and_arrows,client-server,part,dynamic,pacmacro_pm-server-spring,y,"servers, clients","deployment, control_flow",uni,data_flow,n,y,n,high,n,n,,flexibility,pacmacro/pm-server-spring,"icons, 3d",NA,https://github.com/pacmacro/pm-server-spring/,1076
